"Symbol","Units/PAR","Date","Issuer","Weight","Market Value","Currency","Cost","Cost Currency","Asset Class","Purchase Date","Symbol Type"
"LP68649823",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,2021-02-26,NA
"LP68047792",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,2006-05-31,NA
"LP68539368",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,2018-12-11,NA
"LP68001851",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1998-11-12,NA
"LP68001854",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1998-11-12,NA
"LP68228567",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,2013-09-10,NA
"LP40004094",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1986-09-18,NA
