"Symbol","Units/PAR","Date","Issuer","Weight","Market Value","Currency","Cost","Cost Currency","Asset Class","Purchase Date","Symbol Type"
"LP68214288",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,2013-03-28,NA
"LP62903938",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,2019-06-28,NA
"LP40088713",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,2003-07-31,NA
"LP40003729",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1992-12-16,NA
"LP40003997",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1992-12-03,NA
"LP40004323",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1987-05-11,NA
"LP40026917",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1997-01-29,NA
