"Symbol","Units/PAR","Date","Issuer","Weight","Market Value","Currency","Cost","Cost Currency","Asset Class","Purchase Date","Symbol Type"
"LP62004937",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,2005-02-28,NA
"LP40064750",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,2001-03-01,NA
"LP68003875",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1986-12-31,NA
"LP68003877",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1986-12-31,NA
"LP68003876",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1986-12-31,NA
"LP68648263",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,2021-03-04,NA
"LP62902699",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,2016-09-09,NA
