"Symbol","Units/PAR","Date","Issuer","Weight","Market Value","Currency","Cost","Cost Currency","Asset Class","Purchase Date","Symbol Type"
"LP60010870",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1995-07-24,NA
"LP40000522",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1969-12-22,NA
"LP40005709",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1990-10-22,NA
"LP60010891",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1999-02-06,NA
"LP60010367",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1973-02-28,NA
"LP68002419",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1992-10-16,NA
"LP68214289",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,2013-03-28,NA
