"Symbol","Units/PAR","Date","Issuer","Weight","Market Value","Currency","Cost","Cost Currency","Asset Class","Purchase Date","Symbol Type"
"LP40009892",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1993-03-26,NA
"LP40001176",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1983-12-01,NA
"LP40000669",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1973-03-13,NA
"LP40005633",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1990-04-30,NA
"LP68406041",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,2017-01-16,NA
"LP60018301",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1985-06-03,NA
"LP60010661",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1986-11-04,NA
