"Symbol","Units/PAR","Date","Issuer","Weight","Market Value","Currency","Cost","Cost Currency","Asset Class","Purchase Date","Symbol Type"
"LP40000365",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1954-11-29,NA
"LP40001883",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1993-06-15,NA
"LP60036376",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1960-01-04,NA
"LP60091967",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,2004-04-01,NA
"LP60036392",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1979-01-15,NA
"LP40018996",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1995-08-14,NA
"LP40001271",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1984-05-23,NA
