"Symbol","Units/PAR","Date","Issuer","Weight","Market Value","Currency","Cost","Cost Currency","Asset Class","Purchase Date","Symbol Type"
"LP60040948",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1989-01-26,NA
"LP60038348",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1989-11-07,NA
"LP40005829",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1990-11-06,NA
"LP40020558",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1996-02-09,NA
"LP60032695",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1961-07-03,NA
"LP60036061",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,1997-01-17,NA
"LP60083033",1,2008-01-01,NA,NA,NA,NA,NA,NA,NA,2003-04-28,NA
